TARGET_FID_12,GEOID_D,FIPS,POC Population (Prop),Median Household Income,Ttl_Und,Unemployed Population (Prop),Stop Frequency (SEP 20),FreqAug19,FreqPandemic
245,14000US08005086300,8005086300,0.327350427,86293,856,0.230417227,103,126,170
246,14000US08005085200,8005085200,0.15704698,143125,688,0.298352125,159,402,360
247,14000US08005085300,8005085300,0.188609467,104500,434,0.202142524,159,402,360
248,14000US08005086600,8005086600,0.131796284,85487,991,0.193630324,53,134,120
249,14000US08005083600,8005083600,0.294624217,59386,649,0.209017713,2633,6790,5950
250,14000US08005083100,8005083100,0.454666273,91386,942,0.179053412,444,1144,1016
251,14000US08005086000,8005086000,0.271856287,99764,1245,0.207430856,132,340,302
252,14000US08005085000,8005085000,0.277013752,93194,344,0.213135068,1025,1784,1710
253,14000US08005087000,8005087000,0.47458263,53073,1049,0.249464923,846,1775,1702
254,14000US08005085500,8005085500,0.150875939,115302,1130,0.260608856,558,1444,1280
255,14000US08005085600,8005085600,0.213274336,133333,656,0.25980198,212,536,480
256,14000US08005085100,8005085100,0.314680233,160964,1240,0.248945995,555,1400,1255
257,14000US08005086100,8005086100,0.269070446,98641,753,0.218450827,264,680,604
258,14000US08005083700,8005083700,0.311801846,88500,663,0.194656489,460,1116,1014
259,14000US08005086700,8005086700,0.212554629,156972,814,0.240757172,0,0,0
260,14000US08005085900,8005085900,0.340997589,110366,829,0.221539284,312,816,720
261,14000US08005083200,8005083200,0.26845924,117442,1285,0.195496729,0,0,0
262,14000US08005083000,8005083000,0.452102182,102563,705,0.23906409,0,0,0
263,14000US08005007301,8005007301,0.534686971,47015,439,0.235010707,2298,5188,4714
264,14000US08005087100,8005087100,0.422263451,40912,684,0.312328767,1424,3082,2921
265,14000US08005086900,8005086900,0.551103565,53776,897,0.365973072,912,2080,1952
266,14000US08005087300,8005087300,0.531956023,58000,1398,0.232961173,1218,2652,2502
267,14000US08005082900,8005082900,0.438206954,76591,951,0.257374831,222,864,654
268,14000US08005081700,8005081700,0.209983361,142679,750,0.320102433,961,2204,2063
269,14000US08059009851,8059009851,0.089691764,112727,602,0.192209451,692,2021,1787
270,14000US08059015900,8059015900,0.180296896,65575,809,0.258383903,689,2067,1714
271,14000US08059011732,8059011732,0.095015259,59737,1087,0.263579049,43,762,456
272,14000US08059011733,8059011733,0.149403641,62632,246,0.186363636,805,2522,2172
273,14000US08059011806,8059011806,0.10725429,43631,915,0.216619318,1866,4240,4026
274,14000US08059011805,8059011805,0.154301573,61176,1146,0.238253638,2636,5943,5678
275,14000US08059012060,8059012060,0.064652568,80063,632,0.239212718,0,44,22
276,14000US08059011401,8059011401,0.113933795,40132,473,0.226315789,855,2098,1912
277,14000US08059015800,8059015800,0.145472062,65000,769,0.214624616,1475,4000,3386
278,14000US08031015700,8031015700,0.244990739,46959,1275,0.270356234,1494,3746,3380
279,14000US08031001901,8031001901,0.28961039,26607,658,0.277520034,2364,6275,5460
280,14000US08031004504,8031004504,0.206370876,43750,543,0.181726908,879,1980,1903
281,14000US08031004505,8031004505,0.121038035,33684,430,0.124098124,896,2077,1996
282,14000US08031004506,8031004506,0.249285157,30795,466,0.176181474,934,2315,2098
283,14000US08031008312,8031008312,0.399267399,58550,1630,0.271034253,3207,7590,6859
284,14000US08031008387,8031008387,0.390758547,74922,1385,0.257148162,2676,5900,5626
285,14000US08031004503,8031004503,0.07032915,38641,363,0.130341113,1140,2350,2393
286,14000US08031004306,8031004306,0.129804069,106599,1031,0.244254916,1927,4297,4092
287,14000US08031008386,8031008386,0.420656267,70536,1020,0.249571813,2424,5428,5138
288,14000US08031008389,8031008389,0.513068286,83313,1951,0.249010849,5601,11946,11574
289,14000US08031008391,8031008391,0.429950319,73906,1163,0.232274815,1869,3954,3846
290,14000US08031008390,8031008390,0.488159918,63640,1895,0.273094106,2493,5088,5436
291,14000US08031015600,8031015600,0.213866967,44816,1164,0.183712121,3729,9426,8641
292,14000US08035014107,8035014107,0.083143219,118574,805,0.26161846,261,858,686
293,14000US08035013904,8035013904,0.058999082,64970,720,0.20797227,0,522,261
294,14000US08035014503,8035014503,0.05530535,89250,1338,0.293228139,0,0,0
295,14000US08035014300,8035014300,0.04853129,60000,178,0.247566064,0,0,0
296,14000US08035014001,8035014001,0.09954998,82652,1356,0.239915074,0,56,28
297,14000US08035013908,8035013908,0.042180026,130162,1379,0.240160223,0,22,11
298,14000US08035014108,8035014108,0.035196687,106779,884,0.234296316,215,850,640
299,14000US08035014122,8035014122,0.079451672,165871,1254,0.232825845,0,0,0
300,14000US08035013909,8035013909,0.029362696,99974,1351,0.288182594,0,0,0
301,14000US08035014115,8035014115,0.125196673,119904,859,0.236639118,0,126,63
302,14000US08035014116,8035014116,0.348975972,93623,1233,0.255332367,1884,6254,5011
303,14000US08035014123,8035014123,0.130720909,90568,753,0.275925247,0,0,0
304,14000US08035013905,8035013905,0.059424768,95577,1007,0.301768055,0,314,157
305,14000US08013012102,8013012102,0.084606189,73396,2088,0.330536647,2052,5463,4804
306,14000US08013012104,8013012104,0.163165791,121146,575,0.276708373,1556,3748,3466
307,14000US08013012101,8013012101,0.086701571,114271,1220,0.310907238,1398,3495,3177
308,14000US08013012105,8013012105,0.07960644,84435,1711,0.374890447,2578,6716,5981
309,14000US08013012202,8013012202,0.167913296,38194,3365,0.543179984,2312,6353,5484
310,14000US08013012203,8013012203,0.149959688,59618,1510,0.22789013,4493,13567,11276
311,14000US08013012204,8013012204,0.06505848,42348,1907,0.480715906,6380,15961,14352
312,14000US08013012300,8013012300,0.226128472,40464,4299,0.638023152,1697,4978,4068
313,14000US08013012501,8013012501,0.122472339,81205,879,0.368244659,698,2047,1644
