TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Total Population,Proportion Male,Proportion Female,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,PCT_Change_SEP,PCT_Change_AUG
76,14000US08031004304,8031004304,0.156324582,100043,0.248956055,5866,0.461131947,0.538868053,0.201232849,0.271746945,2.09,25,32,27,-7.41,18.52
77,14000US08005005627,8005005627,0.058947813,104911,0.293828509,4733,0.455102472,0.544897528,0.283178591,0.091356674,2.58,3,4,3,0,33.33
78,14000US08005081300,8005081300,0.391373295,54375,0.255106294,3153,0.4452902,0.5547098,0.22676115,0.453433678,2.97,9,10,9,0,11.11
79,14000US08005084000,8005084000,0.225037821,98672,0.278873239,2644,0.520801815,0.479198185,0.254460094,0.195508587,3.49,6,8,6,0,33.33
80,14000US08001009608,8001009608,0.204502814,75556,0.259337562,3198,0.506566604,0.493433396,0.247709655,0.118656716,2.38,8,9,10,-20,-10
81,14000US08001009607,8001009607,0.196782421,46082,0.280922931,5097,0.490876986,0.509123014,0.296146527,0.536865101,2.74,2,3,2,0,50
82,14000US08014030500,8014030500,0.171672355,137603,0.226850804,5860,0.5,0.5,0.24767942,0.093720712,2.75,0,1,0,0,0
83,14000US08014031000,8014031000,0.230560732,109291,0.244042163,5903,0.489920379,0.510079621,0.218148488,0.113475177,2.62,0,0,0,0,0
84,14000US08005081200,8005081200,0.553467001,48262,0.276174773,4788,0.507936508,0.492063492,0.275350371,0.456836461,2.57,11,14,12,-8.33,16.67
85,14000US08005007500,8005007500,0.432343234,59063,0.209455745,2424,0.500825083,0.499174917,0.346344145,0.456162643,3.07,8,8,7,14.29,14.29
86,14000US08005005551,8005005551,0.292558614,48528,0.188703466,2943,0.52259599,0.47740401,0.293966624,0.484333035,2.6,10,11,10,0,10
87,14000US08005005630,8005005630,0.09785322,94229,0.288234073,6009,0.513562989,0.486437011,0.223490351,0.131213614,2.67,2,2,2,0,0
88,14000US08005005552,8005005552,0.11630396,32008,0.20794702,2803,0.54084909,0.45915091,0.414128035,0.361089494,2.18,7,7,7,0,0
89,14000US08005005553,8005005553,0.114934114,56474,0.23223192,4098,0.522205954,0.477794046,0.262780549,0.469677419,2.64,10,11,10,0,10
90,14000US08005005611,8005005611,0.083470923,81930,0.26006332,5451,0.53953403,0.46046597,0.29149706,0.151090343,2.8,9,14,10,-10,40
91,14000US08005005612,8005005612,0.032552083,83617,0.261087029,3840,0.483072917,0.516927083,0.268422808,0.342969777,2.51,5,8,5,0,60
92,14000US08005005614,8005005614,0.119749216,92125,0.200543057,3190,0.487774295,0.512225705,0.343677269,0.088666153,2.46,3,4,3,0,33.33
93,14000US08005005619,8005005619,0.069935858,84211,0.187941473,4833,0.498034347,0.501965653,0.315338042,0.203176342,2.63,8,11,9,-11.11,22.22
94,14000US08005005620,8005005620,0.089675711,55429,0.20613225,3022,0.430509596,0.569490404,0.3801256,0.501182033,1.79,3,4,3,0,33.33
95,14000US08001009553,8001009553,0.188572961,56094,0.244251916,3728,0.58610515,0.41389485,0.295234922,0.476351351,3.15,15,21,18,-16.67,16.67
96,14000US08005005621,8005005621,0.050929112,121250,0.296403473,2906,0.447694425,0.552305575,0.288962381,0.093023256,2.41,1,1,1,0,0
97,14000US08005005622,8005005622,0.057931571,113125,0.181030332,2572,0.528771384,0.471228616,0.318728936,0.338755981,2.46,3,5,4,-25,25
98,14000US08005005624,8005005624,0.15085592,112218,0.271148709,2804,0.512838802,0.487161198,0.325022262,0.087456847,3.22,5,8,6,-16.67,33.33
99,14000US08005005625,8005005625,0.097066167,89907,0.194889397,3204,0.471285893,0.528714107,0.262776506,0.1864,2.55,7,10,8,-12.5,25
100,14000US08005005626,8005005626,0.061608961,70197,0.286750789,3928,0.487525458,0.512474542,0.282649842,0.292800968,2.37,7,14,10,-30,40
101,14000US08005005629,8005005629,0.045311269,151667,0.262926829,2538,0.510244287,0.489755713,0.355121951,0.06937799,3.04,0,0,0,0,0
102,14000US08005084700,8005084700,0.235500468,79884,0.250655785,4276,0.473807297,0.526192703,0.261439813,0.199501247,2.66,10,11,10,0,10
103,14000US08005083400,8005083400,0.329857686,78550,0.243570058,7097,0.508947443,0.491052557,0.21074856,0.118308592,3.19,14,15,14,0,7.14
104,14000US08005005631,8005005631,0.077989601,114119,0.259680284,3462,0.47689197,0.52310803,0.255772647,0.029671211,2.77,2,3,2,0,50
105,14000US08005007703,8005007703,0.34625323,52981,0.302642332,4644,0.534237726,0.465762274,0.288477254,0.526184539,2.89,14,15,13,7.69,15.38
106,14000US08013013202,8013013202,0.035932203,118839,0.301176471,1475,0.492881356,0.507118644,0.373333333,0.062271062,2.7,0,0,0,0,0
107,14000US08013012401,8013012401,0.091424866,22578,0.692423482,6169,0.488896093,0.511103907,0.184980766,0.797019527,2.77,16,20,16,0,25
108,14000US08013012510,8013012510,0.063839386,120441,0.317812669,4433,0.48184074,0.51815926,0.290471034,0.203191489,2.35,9,11,10,-10,10
109,14000US08031004107,8031004107,0.1944007,118692,0.20291274,11430,0.492300962,0.507699038,0.194835393,0.336716681,2.49,61,71,61,0,16.39
110,14000US08031004106,8031004106,0.183347481,148795,0.205125373,12959,0.500733081,0.499266919,0.310725726,0.208927131,2.96,23,27,23,0,17.39
111,14000US08031015500,8031015500,0.215581098,52057,0.30014771,3915,0.543805875,0.456194125,0.126735598,0.910472056,2.11,9,10,9,0,11.11
112,14000US08005005635,8005005635,0.095585257,92604,0.233710026,4938,0.454029972,0.545970028,0.392642462,0.171026157,2.37,3,3,3,0,0
113,14000US08005006713,8005006713,0.38305709,72340,0.174188999,1629,0.542664211,0.457335789,0.14809591,1,1.87,0,1,0,0,0
114,14000US08005084600,8005084600,0.294226158,69310,0.205930423,5421,0.482198856,0.517801144,0.248190521,0.384928717,2.76,11,14,12,-8.33,16.67
115,14000US08005005636,8005005636,0.056603774,202188,0.296272073,1908,0.465932914,0.534067086,0.387835186,0,2.76,0,1,0,0,0
116,14000US08031001701,8031001701,0.113444734,93654,0.22758401,6523,0.605856201,0.394143799,0.216913521,0.678637201,1.5,170,223,185,-8.11,20.54
117,14000US08031001702,8031001702,0.177521749,65408,0.334995252,4253,0.577709852,0.422290148,0.216761633,0.640879788,1.41,222,311,253,-12.25,22.92
118,14000US08031001800,8031001800,0.307781313,47725,0.288474132,3457,0.515475846,0.484524154,0.276031434,0.668797211,1.97,9,11,9,0,22.22
119,14000US08005086200,8005086200,0.236795252,108720,0.20992291,6740,0.49925816,0.50074184,0.240561376,0.1223272,3.35,6,8,6,0,33.33
120,14000US08005085400,8005085400,0.234627126,132083,0.282227964,4586,0.47623201,0.52376799,0.136376687,0.03997195,3.2,3,4,3,0,33.33
121,14000US08031002000,8031002000,0.196185286,100947,0.158525346,2202,0.560399637,0.439600363,0.25437788,0.737613398,1.54,18,23,19,-5.26,21.05
122,14000US08031002402,8031002402,0.288700846,73125,0.246745562,2009,0.469885515,0.530114485,0.214792899,0.516166282,2.21,4,8,5,-20,60
123,14000US08005005633,8005005633,0.062214984,104756,0.243222004,3070,0.45276873,0.54723127,0.240078585,0.213533835,2.31,1,3,2,-50,50
124,14000US08005005634,8005005634,0.077844311,68586,0.170901497,3173,0.412543334,0.587456666,0.429516185,0.200368777,1.88,4,8,6,-33.33,33.33
