"","stops.stop_name","stops.stop_id","stops.stop_lat","stops.stop_lon","freq"
"193","Mansfield Ave & Nassau Dr",15196,39.643243,-104.777555,39
"194","Maxwell Pl & Wheeling St",15283,39.794743,-104.832471,117
"195","Monaco Pkwy & 17th Ave",15498,39.744016,-104.912373,76
"196","Parfet St & W 8th Ave",15766,39.72889,-105.119503,39
"197","Pecos St & W 97th Ave",15863,39.874159,-105.005482,51
"198","Santa Fe Dr & W 8th Ave",16421,39.729147,-104.998562,49
"199","S Union Blvd & W Alameda Ave",16779,39.710364,-105.132889,99
"200","S University Blvd & Evans Ave",16831,39.678782,-104.959244,37
"201","S University Blvd & Virginia Ave",16871,39.707262,-104.959406,40
"202","Ward Rd & W 62nd Ave",17128,39.809306,-105.13775,74
"203","S Main St & Quebec Ave",17844,40.14157,-105.102641,18
"204","Hwy 119 & Jay Rd",18011,40.050452,-105.235313,54
"205","W Hampden Ave & S Harlan St",19231,39.652925,-105.062222,68
"206","Heatherwood Dr & Ashfield Ct",19393,40.054814,-105.177427,80
"207","63rd St & Gunbarrel Ave",19690,40.061524,-105.20695,80
"208","S Buckley Rd & Asbury Ave",20240,39.680271,-104.791154,167
"209","W 46th Ave & Navajo St",20642,39.780111,-105.003825,128
"210","27th Way & Moorhead Ave",21439,39.998125,-105.260228,89
"211","8th St & Main Ave",21886,39.714117,-105.12262,2
"212","W 1st Ave & Pierce St",22219,39.718433,-105.072694,50
"213","16th Street Mall & Welton St",22366,39.744507,-104.991086,554
"214","Baseline Rd & Elgin Dr",22835,40.000089,-105.143488,79
"215","3800 Block W 112th Ave",23672,39.899529,-105.035657,69
"216","Chambers Rd & Green Valley Ranch Blvd",23699,39.784676,-104.80949,243
"217","Front Range Ave & Broadway",24253,40.06284,-105.282297,226
"218","Wadsworth Pkwy & W 102nd Ave",24350,39.882154,-105.096039,79
"219","W Coal Mine Ave & S Simms St",24573,39.602593,-105.12963,28
"220","W Grant Ranch Blvd & S Newland Way",25016,39.616872,-105.069912,38
"221","Bridge St & Eastgate Village Ent",26014,39.986899,-104.786402,30
"222","Central Park Blvd & 23rd Ave",26255,39.749891,-104.886873,165
"223","S Jordan Rd & Briarwood Ave",26430,39.591803,-104.819363,106
"224","Yale Ave & S Clermont St",33158,39.667461,-104.936886,55
"225","W Exposition Ave & S Quivas St",33197,39.703911,-105.006975,66
"226","Peoria St & 23rd Ave",33680,39.751354,-104.846764,149
"227","Gateway Ave & Fraser Way",34902,39.784317,-104.812153,123
"228","W 52nd Ave & Allison St",34946,39.791179,-105.08656,20
"229","Clover Basin Dr & Airport Rd",35101,40.143182,-105.148965,33
"230","Nine Mile Station",34003,39.657344,-104.845575,408
"231","Union Station Gate B16",34314,39.75449,-105.001649,82
"232","Havana St & Colfax Ave",14257,39.7398,-104.865942,163
"233","2nd & Abilene Station",34582,39.71895,-104.825879,152
"234","W 1st Ave & Yates St",10492,39.718141,-105.050058,50
"235","W 32nd Ave & Ingalls St",10889,39.762141,-105.063818,40
"236","38th St & Brighton Blvd",11068,39.773244,-104.975691,111
